Financial Year,URN,Identifier,Recipient Org:Name,Title,Amount Awarded,Award Date,Currency,Grant Programme:Title,Main_Sport,Region,Local_Authority,Parliamentary_Constituency,Organisation Type,Funding Org:Identifier,Funding Org:Name,Data source,Last modified
2009/2010,20041807,360G-ACW-20041807,Wiltshire Council,CSCS,5044,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,South West,Wiltshire,Devizes,Local Authority,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041815,360G-ACW-20041815,University of Gloucestershire,CSCS,841,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,South West,Gloucester,Tewkesbury,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041869,360G-ACW-20041869,ExDRA,Community Sports Coach Scheme,40132,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Chelmsford,Chelmsford,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041873,360G-ACW-20041873,Herts Sports Partnership,Community Sports Coach Scheme,13868,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Welwyn Hatfield,Welwyn Hatfield,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041877,360G-ACW-20041877,Norfolk County Council,Community Sports Coach Scheme,24813,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Norwich,Norwich South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041881,360G-ACW-20041881,Suffolk Coastal District Council,Community Sports Coach Scheme,11027,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Suffolk Coastal,Suffolk Coastal,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20042489,360G-ACW-20042489,Tyne and Wear Sport,Community Sports Coaches,19000,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,Sunderland,Washington and Sunderland West,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20042493,360G-ACW-20042493,Durham Sport,Community Sports Coaches,23667,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,County Durham,City of Durham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20042497,360G-ACW-20042497,Northumberland Sport,Community Sports Coaches,17431,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,Northumberland,Hexham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050345,360G-ACW-20050345,Tees Valley Sport,Community Sports Coaches,125,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,Middlesbrough,Middlesbrough,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050669,360G-ACW-20050669,Active Luton,CSCS,8044,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Luton,Luton South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050753,360G-ACW-20050753,Central Council of Physical Recreation,CCPR core funding 2005-10,1586770,2009-05-18,GBP,Funded Partners,Sports Development,London,Westminster,Cities of London and Westminster,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050753,360G-ACW-20050753,Central Council of Physical Recreation,CCPR core funding 2005-10,6438,2010-02-22,GBP,Funded Partners,Sports Development,London,Westminster,Cities of London and Westminster,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050915,360G-ACW-20050915,Youth Sport Trust,YST (Step Into Sport),2104168,2009-08-18,GBP,Leadership & Volunteering,Sport Participation and Capacity Building,East Midlands,Charnwood,Loughborough,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050919,360G-ACW-20050919,British Sports Trust,Sport Leaders UK (SIS funding),280000,2009-07-30,GBP,Funded Partners,Sport Participation and Capacity Building,South East,Milton Keynes,Milton Keynes North,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050935,360G-ACW-20050935,Cumbria Sport,CSCS - Phase 1,4038,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North West,Carlisle,Carlisle,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051015,360G-ACW-20051015,University of Bournemouth (Active Dorset),Community Sports Coach Scheme,50650,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,South West,Poole,Bournemouth West,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051355,360G-ACW-20051355,Youth Sport Trust,YST (Club Links),540000,2009-08-18,GBP,Funded Partners,Multi Sports,East Midlands,Charnwood,Loughborough,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051469,360G-ACW-20051469,Alderman Smith School on behalf of Nuneaton Badminton Association,Modernisation of Facilities,20000,2009-04-30,GBP,Community Club Development Programme,Badminton,West Midlands,North Warwickshire,Nuneaton,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051495,360G-ACW-20051495,Jesse Boot Community Trust,Additional Basketball Area,363,2009-05-28,GBP,Community Club Development Programme,Basketball,East Midlands,Nottingham,Nottingham East,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051675,360G-ACW-20051675,Merseyside Sport,CSCS - Phase 2,21437,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North West,Liverpool,"Liverpool, Riverside",County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051677,360G-ACW-20051677,Lancashire Sport Partnership Limited,CSCS - Phase 2,21857,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North West,Wyre,Wyre and Preston North,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20061182,360G-ACW-20061182,IDEA,Cultural Services Unit,50000,2009-10-15,GBP,National Programme,Multi Sports,London,Islington,Islington South and Finsbury,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20064588,360G-ACW-20064588,Partnerships for Schools,PfS (BFS post),80000,2010-02-10,GBP,National Programme,Multi Sports,London,Westminster,Cities of London and Westminster,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20066828,360G-ACW-20066828,NAVCA,Sports Partnerships Development Manager,53362,2009-05-19,GBP,National Programme,Multi Sports,Yorkshire and The Humber,Sheffield,Sheffield Central,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20070562,360G-ACW-20070562,Youth Sport Trust,RAMP 2006-08,166500,2009-09-11,GBP,National Programme,Sport Participation and Capacity Building,East Midlands,Charnwood,Loughborough,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20072074,360G-ACW-20072074,West Northamptonshire Development Corporation,Sports Specialist Planning Consultancy,25000,2009-11-04,GBP,Community Investment Fund,Multi Sports,East Midlands,Northampton,Northampton South,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20074360,360G-ACW-20074360,Regeneration East Midlands,BSF Programme Manager,34000,2009-11-04,GBP,Community Investment Fund,Multi Sports,East Midlands,Nottingham,Nottingham East,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20074734,360G-ACW-20074734,Durham County Council,Step into Sport,11060,2009-05-19,GBP,Step into Sport,Sport Participation and Capacity Building,North East,County Durham,City of Durham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20074735,360G-ACW-20074735,Northumberland County Council,Step into Sports,4652,2009-05-19,GBP,Step into Sport,Sport Participation and Capacity Building,North East,Northumberland,Hexham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20074736,360G-ACW-20074736,University of Teesside,Step into Sport,5556,2009-05-19,GBP,Step into Sport,Sport Participation and Capacity Building,North East,Middlesbrough,Middlesbrough,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20074737,360G-ACW-20074737,CITY OF SUNDERLAND,Step into Sport,11060,2009-05-19,GBP,Step into Sport,Sport Participation and Capacity Building,North East,Sunderland,Washington and Sunderland West,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081378,360G-ACW-20081378,Leicestershire County Council,Extended Acts. Development,31775,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East Midlands,Blaby,Charnwood,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081381,360G-ACW-20081381,Derbyshire County Council on behalf of Derbyshire Sport,Extended Acts. Development,31774,2009-05-07,GBP,Extended Activities,Sport Participation and Capacity Building,East Midlands,Amber Valley,Amber Valley,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081387,360G-ACW-20081387,Leicestershire County Council,Extending Acts. Delivery,216000,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East Midlands,Charnwood,Loughborough,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081388,360G-ACW-20081388,Derbyshire County Council on behalf of Derbyshire Sport,Extending Acts. Delivery,216000,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East Midlands,Amber Valley,Amber Valley,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081409,360G-ACW-20081409,Norfolk County Council,Active Norfolk Extending Activity Capacity Funding,26650,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Norwich,Norwich South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081435,360G-ACW-20081435,Norfolk County Council,Active Norfolk Extending Activity Delivery Funding,172800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Norwich,Norwich South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081474,360G-ACW-20081474,Worcester City Council,Extending Activity - Delivery,172800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,West Midlands,Worcester,Worcester,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081474,360G-ACW-20081474,Worcester City Council,Extending Activity - Delivery,4214,2009-11-25,GBP,Extended Activities,Sport Participation and Capacity Building,West Midlands,Worcester,Worcester,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081484,360G-ACW-20081484,Kirklees Metropolitan Council,WYS Extended Activities Trailblazer Delivery,388800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,Yorkshire and The Humber,Kirklees,Huddersfield,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081512,360G-ACW-20081512,Kirklees Metropolitan Council,WYS Extended Activities Capacity,52275,2009-04-22,GBP,Extended Activities,Sport Participation and Capacity Building,Yorkshire and The Humber,Kirklees,Huddersfield,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081532,360G-ACW-20081532,Worcester City Council,Extending Activity - Capacity,26650,2009-04-22,GBP,Extended Activities,Sport Participation and Capacity Building,West Midlands,Worcester,Worcester,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081557,360G-ACW-20081557,Cheshire & Warrington Sports Partnership (Cheshire Sports Trust Ltd)  ,Extending Activities - Delivery Resources,172800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Cheshire West and Chester,Weaver Vale,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081558,360G-ACW-20081558,Cumbria County Council,Extending Activities - Delivery Costs,129600,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Carlisle,Carlisle,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081559,360G-ACW-20081559,Greater Sport,Extending Activities - Delivery Costs,453600,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Manchester,"Manchester, Gorton",County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081560,360G-ACW-20081560,LANCASHIRE SPORT,Extending Activities - Delivery Costs,302400,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Blackburn with Darwen,Blackburn,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081561,360G-ACW-20081561,Merseyside Sport,Extending Activities in Merseyside ,324000,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Liverpool,"Liverpool, Riverside",County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081568,360G-ACW-20081568,Sport Cheshire,5 Hour Offer/ Five Extending Activities Administrator ,26650,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Cheshire West and Chester,Weaver Vale,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081569,360G-ACW-20081569,Bucks & Milton Keynes Sports Partnership,Extending Activity Capacity Funding Trblzr,26650,2009-04-22,GBP,Extended Activities,Sport Participation and Capacity Building,South East,Aylesbury Vale,Aylesbury,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081570,360G-ACW-20081570,Cumbria Sport,Extending Activities - Capacity Resources,21525,2009-04-22,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Carlisle,Carlisle,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081573,360G-ACW-20081573,Greater Sport,Extending Activities - Capacity Resources,59963,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Manchester,"Manchester, Gorton",County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081574,360G-ACW-20081574,LANCASHIRE SPORT,Extending Activities - Capacity Resources,42025,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Wyre,Wyre and Preston North,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081579,360G-ACW-20081579,Merseyside Sport,Merseyside Extending Activities - Capacity Resources,44588,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North West,Liverpool,"Liverpool, Riverside",County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081601,360G-ACW-20081601,Bucks & Milton Keynes Sports Partnership ,Bucks and MK Extending Activities - delivery,172800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South East,Aylesbury Vale,Aylesbury,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081632,360G-ACW-20081632,Somerset County Council,SASP Extending Activity Capacity Funding,13838,2009-05-07,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Taunton Deane,Taunton Deane,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081672,360G-ACW-20081672,London Borough of Croydon,PRO-ACTIVE South London Extended Activity - Delivery,216000,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,London,Croydon,Croydon South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081674,360G-ACW-20081674,Somerset County Council,SASP Extending Activity Delivery Funding,64800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Taunton Deane,Taunton Deane,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081674,360G-ACW-20081674,Somerset County Council,SASP Extending Activity Delivery Funding,4214,2009-11-25,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Taunton Deane,Taunton Deane,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081677,360G-ACW-20081677,Brunel University (Pro-Active West),Pro-Active West Extending Activity - Delivery,237600,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,London,Hillingdon,Uxbridge and South Ruislip,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081808,360G-ACW-20081808,Active Luton,Team Beds and Luton Extending Activity Capacity Funding,26650,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Luton,Luton South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081809,360G-ACW-20081809,Essex County Council,sportessex Extending Activity Capacity Funding,42025,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Chelmsford,Chelmsford,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081810,360G-ACW-20081810,Living Sport,LIVING SPORT Extending Activities Capacity Funding,18963,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Huntingdonshire,North West Cambridgeshire,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081811,360G-ACW-20081811,University of Hertfordshire,Herts Sports Partnership Extending Activity Capacity Funding,36900,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Welwyn Hatfield,Welwyn Hatfield,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081814,360G-ACW-20081814,Suffolk Coastal District Council,Suffolk Sport Extending Activity Capacity Funding,26650,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Suffolk Coastal,Suffolk Coastal,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081839,360G-ACW-20081839,Active Luton,Team Beds and Luton Extending Activity Delivery Funding,172800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Luton,Luton South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081840,360G-ACW-20081840,Essex County Council,Sport Essex Extending Activity Delivery Funding,302400,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Chelmsford,Chelmsford,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081841,360G-ACW-20081841,Living Sport,Living Sport Extending Activity Delivery Funding,108000,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Huntingdonshire,North West Cambridgeshire,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081842,360G-ACW-20081842,University of Hertfordshire,Herts Sports Partnership Extending Activity Delivery Funding,259200,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Welwyn Hatfield,Welwyn Hatfield,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081843,360G-ACW-20081843,Suffolk Coastal District Council,Suffolk Sport Extending Activity Delivery Funding,172800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East of England,Suffolk Coastal,Suffolk Coastal,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081890,360G-ACW-20081890,Durham County Council,Durham Sport - Extending Activity Delivery Funding,129600,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North East,County Durham,City of Durham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081890,360G-ACW-20081890,Durham County Council,Durham Sport - Extending Activity Delivery Funding,4214,2009-11-25,GBP,Extended Activities,Sport Participation and Capacity Building,North East,County Durham,City of Durham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081919,360G-ACW-20081919,Durham County Council,Durham Sport - Extending Activity Capacity Funding,21525,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,North East,County Durham,City of Durham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081970,360G-ACW-20081970,London Borough of Croydon,Extending Activities - PRO-ACTIVE South London Capacity,31775,2009-04-22,GBP,Extended Activities,Sport Participation and Capacity Building,London,Croydon,Croydon South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081972,360G-ACW-20081972,London South Bank University,PRO-ACTIVE Central London Extending Activities - Capacity,26650,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,London,Southwark,Bermondsey and Old Southwark,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081974,360G-ACW-20081974,Middlesex University,‘PRO-ACTIVE North London’ Extending Activities – Capacity Fu,34338,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,London,Barnet,Hendon,Institute of higher education (including universities),GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081975,360G-ACW-20081975,Brunel University (Pro-Active West),Extending Activities - Capacity,34338,2009-04-22,GBP,Extended Activities,Sport Participation and Capacity Building,London,Hillingdon,Uxbridge and South Ruislip,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20081977,360G-ACW-20081977,University of East London,East London Extending Activities - Capacity Funding,47150,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,London,Newham,East Ham,Institute of higher education (including universities),GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082021,360G-ACW-20082021,Devon County Council,Active Devon Extending Activity Delivery Funding,172800,2009-07-10,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Exeter,Exeter,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082021,360G-ACW-20082021,Devon County Council,Active Devon Extending Activity Delivery Funding,4214,2009-11-25,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Exeter,Exeter,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082022,360G-ACW-20082022,Cornwall County Council,Cornwall Extending Activity Delivery Funding,86400,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Cornwall,Truro and Falmouth,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082023,360G-ACW-20082023,University of Bournemouth (Active Dorset,Active Dorset 5hr Offer EA Programme Delivery,129600,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Poole,Bournemouth West,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082023,360G-ACW-20082023,University of Bournemouth (Active Dorset,Active Dorset 5hr Offer EA Programme Delivery,4214,2009-11-25,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Poole,Bournemouth West,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082024,360G-ACW-20082024,University of Gloucestershire,Gloucestershire  Extending Activity Delivery Funding,108000,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Gloucester,Tewkesbury,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082025,360G-ACW-20082025,WESPORT,WESPORT Extending Activity Delivery Funding,172800,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South West,South Gloucestershire,Filton and Bradley Stoke,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082026,360G-ACW-20082026,Wiltshire Council,WASP Extending Activity Delivery Funding,108000,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Wiltshire,Devizes,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082126,360G-ACW-20082126,Cornwall County Council,Cornwall Extending Activity Capacity Funding,16400,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,South West,Cornwall,Truro and Falmouth,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082137,360G-ACW-20082137,Nottingham Trent University,Extending Activities: Development,29213,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East Midlands,Nottingham,Nottingham South,Institute of higher education (including universities),GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20082138,360G-ACW-20082138,Nottingham Trent University,Extending Activities: Delivery,194400,2009-05-19,GBP,Extended Activities,Sport Participation and Capacity Building,East Midlands,Nottingham,Nottingham South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
